Sample_Name, Sample_ID, Sample_Description, Fraction_successful, Fraction_genotype, 
AH-097,392,G. amourianum,0.9198240454954189,
AH-103,377,HLA (H=G. hirsutum, L=G. longicalyx, A=G. armourianum),0.6090138746624453,
AH-149,393,G. longicalyx,0.8766691174726656,
AH-176,398,201208092.01_StellyLabLine (tomentosum),0.884308314937454,
AH-188,394,201208093.05_StellyLabLine (mustelinum),0.8817492603550295,
AH-195,268,Stoneville 825,0.8863524925088532,
AH-196,384,A2-1654,0.8825339605222666,
AH-197,189,NM24016,0.8864349308237683,
AH-199,271,Suregrow 747,0.8877366016389876,
AH-202,16,Acala Ultima,0.8534073643338148,
AH-210,154,Li1,0.8888667234906875,
AH-212,276,TAMCOT CAMD-E,0.8887940893495743,
AH-213,290,TM-1,0.8889956664430382,
AH-216,321,TX-0231,0.8874415558425964,
AH-217,115,FiberMax 966,0.8645492845209559,
AH-219,220,Phytogen PSC355,0.8308679573634979,
AH-224,95,Deltapine 90,0.859598318542737,
AH-229,381,Pima 57-4,0.8860483442373596,
AH-230,223,Pyramid,0.8862368826594261,
AH-231,397,D1-4,0.9197951382081945,
AH-232,182,MD90ne,0.8895876755777073,
AH-237,267,Stoneville 474 ,0.8861913913768721,
AH-240,102,DeRidder Red,0.8875635118646538,
AH-243,114,FiberMax 832,0.8415730129731126,
AH-245,67,Coker 315,0.8172045007241264,
AH-246,376,(A2D1)2 (A2=G. arboreum, D1=G. armourianum),0.8704845474400356,
AH-247,282,TAMCOT Sphinx,0.8887337226595089,
AH-253,155,Li2,0.88392268833736,
AH-260,383,Co25 / VH8-4602,0.885448746150462,
AH-261,101,Deltapine 5690,0.8878991291727141,
AH-262,382,Sev7,0.885976000732802,
AH-263,201,Paymaster HS26,0.8893402488121577,
AH-264,224,R1Tm1 (Gh),0.8895597621119814,
AH-269,181,MD52ne,0.8896582978337714,
AH-270,142,im,0.8893823758678825,
AH-272,168,M240,0.8893240498984625,
AH-278,58,Co27(Gh) / Guazuncho 2,0.8823903369357915,
AH-286,63,Coker 312,0.8894288304623753,
AH-367,219,Phytogen 72,0.8894953487950387,
AH-385,235†,S-6524,0.8852061884049992,
AH-386,14,Acala NemX2,0.889205163536152,
AH-387,307,TX-0094,0.8850910808012931,
AH-389,310,TX-0126,0.888749795896152,
AH-395,316,TX-0192,0.8070047958145619,
AH-397,319,TX-0202,0.8022590662284127,
AH-400,375,Peale1B,0.8873775447030118,
AH-401,295,VIR-5913  BANCROFT M 64/153,0.8688691048213087,
AH-403,205,PD 1,0.8553560032819765,
AH-405,1,08-WZ-51,0.8894346667633358,
AH-406,13,Acala NemX1,0.8894710126536384,
AH-407,11,Acala Maxxa ,0.8894710126536384,
AH-410,47,Cascot B-2,0.8822340620981076,
AH-411,313,TX-0155,0.8885037026281399,
AH-412,241,Sealand542,0.8837421022923836,
AH-413,150,Lambright 2020A,0.8892394161907352,
AH-415,318,TX-0200,0.8885542168674698,
AH-418,323,TX-0376,0.88816637907547,
AH-421,169,Mac7-0238,0.8865352768830412,
AH-422,314,TX-0168,0.8886467244228918,
AH-424,194,Pak-22 Vir-5850,0.8298713785534169,
AH-431,69,Colombia 1 Gossica N21 VIR-7263  ,0.839618536514613,
AH-435,274,TAM 90J-57s,0.8888949334493889,
AH-440,322,TX-0282,0.8881986449421466,
AH-442,302,Zhong Mian Suo 9 hao,0.8893903964326499,
AH-446,312,TX-0142,0.8880751617358436,
AH-455,242,Shan 5245,0.8863331520754033,
AH-456,158,Limpopo,0.8877998217890201,
AH-457,94,Deltapine 80,0.8880523731587562,
AH-459,311,TX-0136,0.8880771956604699,
AH-461,374,TX-2263,0.7358559346748323,
AH-462,309,TX-0112,0.8856888792102207,
AH-467,9,Acala 1517-99,0.8893241209219666,
AH-468,315,TX-0189,0.8885378078012639,
AH-470,304,TX-0021,0.8889009832734661,
AH-472,179,MD26ne,0.8895939086294417,
AH-477,367,TX-2094,0.7958188533687524,
AH-479,128,Garant,0.8856531515195474,
AH-481,130,GL 7,0.889221448265854,
AH-482,326,TX-0463,0.8883564751792359,
AH-483,263,Stoneville 213,0.8891812918564765,
AH-484,350,TX-1500,0.874114798565473,
AH-485,12,Acala Maxxa ,0.8895496410182029,
AH-486,191,NTA 90-8,0.8893947363647906,
AH-488,134,Guazuncho II,0.8877599158108648,
AH-489,293,UK 77 ,0.879587343752843,
AH-492,332,TX-0712,0.8848943148688047,
AH-493,330,TX-0702,0.8888445420075833,
AH-495,125,FMT 701 ,0.8896865539058393,
AH-496,20,Albar K603 ,0.8657144422729183,
AH-497,357,TX-1661,0.8100816794309726,
AH-498,41,BRS 372 ,0.8866817975487971,
AH-499,53,Chaco 520 ,0.8799695022328723,
AH-500,232,RN96527,0.8324623480312103,
AH-501,50,CD 410,0.8893322209728318,
AH-502,342,TX-1039,0.8553869058426232,
AH-503,35,BPA 68  CB 4030,0.8891065759637188,
AH-504,346,TX-1240,0.8828978319140789,
AH-505,334,TX-0720,0.8816510920451026,
AH-506,365,TX-1926,0.8199091734786558,
AH-507,147,IMACD 8276,0.8895356216794502,
AH-508,362,TX-1895,0.887369779830191,
AH-510,19,Albar 627,0.8879909927906006,
AH-512,55,Chureza 87 ,0.8811251276068252,
AH-513,90,Deltapine 25,0.8896062677959339,
AH-514,84,Deltapine 12,0.889116596238597,
AH-515,306,TX-0069,0.8859729167427091,
AH-516,36,BRS 269,0.8613431583555248,
AH-517,85,Deltapine 14,0.8892918668963641,
AH-519,275,TAM 98D102,0.8514040208110509,
AH-521,109,Dunn 325,0.8895115802455701,
AH-523,345,TX-1229,0.8837963975789397,
AH-524,116,FiberMax 966 (Sicala 40),0.889104493852236,
AH-525,5,A-618,0.8886971997239677,
AH-526,340,TX-0879,0.8769410008555877,
AH-527,38,BRS 293 ,0.8795509047307608,
AH-528,354,TX-1556,0.8614679232924566,
AH-529,146,IMA 6035,0.8891749306550155,
AH-530,331,TX-0707,0.8885521946616828,
AH-531,227,Reba P279 ,0.860654098569273,
AH-532,327,TX-0479,0.8853206012635249,
AH-533,49,CD 408 ,0.889481320275662,
AH-534,184,Mebane,0.8857516862716579,
AH-535,349,TX-1442,0.8874581696493525,
AH-536,329,TX-0491,0.8873521383075523,
AH-539,124,FK 290,0.8888202706384525,
AH-541,348,TX-1391,0.8878389183688304,
AH-542,39,BRS 335 ,0.889515485602379,
AH-543,303,TX-0018,0.8883258871817225,
AH-544,358,TX-1795,0.8141697605008371,
AH-545,335,TX-0775,0.8883242281793927,
AH-546,328,TX-0488,0.8831456995798701,
AH-547,360,TX-1807,0.8791345118858664,
AH-548,336,TX-0794,0.8871757531628288,
AH-549,139,IAC 17,0.8873927224358157,
AH-550,207,PD 3,0.7822195595737342,
AH-551,261,Stam F,0.8786438819336562,
AH-552,347,TX-1352,0.881875547125766,
AH-553,62,Coker 312,0.8593415757224176,
AH-554,366,TX-2076,0.887371330884225,
AH-556,317,TX-0198,0.8884371029224905,
AH-558,37,BRS 286 ,0.8885866608638886,
AH-559,40,BRS 336 ,0.8895276090307371,
AH-560,32,BJA 592 ,0.8891771279297583,
AH-563,343,TX-1069,0.8863040151570356,
AH-565,355,TX-1593,0.8628950050968399,
AH-566,148,IRMA D 742 ,0.8664715030646785,
AH-567,333,TX-0718,0.8878913987678776,
AH-568,266,Stoneville 474,0.8895939086294417,
AH-569,99,Deltapine 491,0.8893883914005003,
AH-570,122,FiberMax 993 ,0.8896745535309583,
AH-571,202,Paymaster HS200,0.8810132550000906,
AH-572,356,TX-1644,0.8868041387350627,
AH-573,132,Gregg 35,0.8874852313005543,
AH-574,370,TX-2427,0.8773387258384799,
AH-576,300,Zhong Mian Suo 7 hao,0.8204737548518156,
AH-577,292,UK 64,0.8891811009340709,
AH-578,86,Deltapine 16,0.8895837865274454,
AH-579,238,SATU 65  CB 4033,0.8871359663438871,
AH-580,23,Allen 333,0.8893160223398854,
AH-581,42,Bulgaria P73,0.8889775344055412,
AH-582,123,FJA,0.8828168911935887,
AH-583,273,TAM 2562 RKNR,0.885528296070645,
AH-584,281,TAMCOT SP-37,0.8889815603865611,
AH-585,108,Dunn 219,0.8894106980961015,
AH-586,25,Arkot 8102,0.8873459028281363,
AH-587,22,All Tex Atlas,0.879114302812687,
AH-588,93,Deltapine 66 ,0.8892796925140961,
AH-590,43,CABD3CABCH-1-89,0.8888385166379544,
AH-591,34,Blight Master,0.8894188049687188,
AH-592,183,Meade Clean Seed,0.8892192230299295,
AH-593,277,TAMCOT Luxor,0.8892856495495659,
AH-594,57,Cleveland W.R. Wannamaker's,0.876348668105246,
AH-595,192,Ogosta,0.8786856707648787,
AH-596,262,Stoneville 2C ,0.8895655483660486,
AH-597,110,Earlistaple 7,0.8860578143701715,
AH-598,211,PD 2164,0.8892595547175285,
AH-599,214,PD 9364,0.8832758933430075,
AH-600,279,TAMCOT SP-23,0.8785328157312339,
AH-601,59,Central (Sel Coker 100),0.8891990357252905,
AH-602,351,TX-1501,0.8531338720244594,
AH-603,17,AK Djura 182,0.889237407984915,
AH-604,173,McNair 210,0.8307075907830092,
AH-605,239,Sealand2 (G. barb. X G. hir.),0.8888767977945844,
AH-606,291,Toole,0.8890420149781493,
AH-607,100,Deltapine 826,0.8894629972080206,
AH-608,75,Del Cerro,0.8890843155031731,
AH-610,371,TX-2476,0.8789530284526913,
AH-611,188,New Boykin,0.8814743566476716,
AH-612,113,Felistana UA-7-18,0.8877829536356358,
AH-613,379,3-79,0.8859446582371266,
AH-614,28,Auburn 634 RNR,0.8837053288125759,
AH-615,26,Arkot 8606,0.8893542947288255,
AH-616,259‡,Siokra 104-90,0.8896320464020301,
AH-617,294,Victoria,0.8891487201798274,
AH-618,151,Lankart,0.8895515353659863,
AH-619,265,Stoneville 453,0.8895595432300163,
AH-620,70,Columbia,0.8892857142857142,
AH-621,106,Dixie Triumph,0.8892877864809979,
AH-622,296,VIR-6615  MCU-5,0.8753218495013599,
AH-623,222,Pora  INTA,0.8816701128160481,
AH-624,209,PD 781,0.8824897351113695,
AH-625,131,Gregg,0.8891911498005078,
AH-626,197,Paymaster 145,0.8888102368635993,
AH-627,163,Lou Mienne,0.8889675709046011,
AH-628,6,A-637-33,0.8886326074717132,
AH-629,83,Deltapine 10-1,0.8892456149897516,
AH-630,286,Tidewater 29 (G. barb. X G. hir.),0.8894731116510135,
AH-631,71,Cook 912 Pope,0.8891427742415176,
AH-632,105,Dixie King,0.8894468717706993,
AH-633,73,CS 8610,0.8893826175275682,
AH-634,229,Rex,0.8561038866822642,
AH-635,285,Tashkent III,0.8877867440384442,
AH-636,3,320F,0.8879166364098467,
AH-637,92,Deltapine 55,0.8897004186526994,
AH-638,270,Storm King TPSA NO 1,0.8888969468416854,
AH-639,162,Lone Star,0.8894227282616578,
AH-640,216,PD 93007,0.8527625160927669,
AH-641,27,Auburn 56,0.8894790269368814,
AH-642,89,Deltapine 20,0.8896037988907819,
AH-643,51,CD3HCHULBH-1-88,0.8889352212774444,
AH-644,74,Dekalb 220,0.8880346684556943,
AH-645,212,PD 2165,0.8892293188781523,
AH-646,172,Marico (Smooth),0.8893120081238893,
AH-647,45,CAHUGLBBCS-1-88,0.8890500888614848,
AH-648,72,Cristina,0.8887417939138951,
AH-649,61,Coker 201,0.8893803705449403,
AH-650,21,Aleppo I,0.8895334082587101,
AH-651,31,Big Boll Triumph UA 8-20 (P1),0.8893945712679734,
AH-652,225,Reba B50,0.8892092331683258,
AH-653,278,TAMCOT SP-21,0.8887759915810864,
AH-654,68,Coker's Clevewilt #3,0.8891608645198723,
AH-655,226,REBA P279 (REBA B-50 X DPL SMO.),0.8893906420021763,
AH-656,107,Dixie Triumph Wannamaker's,0.8887679582063561,
AH-657,373,TX-2498,0.8488094587455138,
AH-658,77,Delfos 9169 ,0.8892959483477819,
AH-659,24,Arkansas 10,0.8891085517366464,
AH-660,136,Half and Half,0.8884003197906825,
AH-661,159,Lisina 11  CB 4021,0.8888344671201814,
AH-662,137,Hart,0.8894650011784115,
AH-663,364,TX-1923,0.886991855104681,
AH-664,160,Lockett 1,0.866885471821281,
AH-665,171,Mar 5 PD208S-4-90,0.8891669840578922,
AH-666,48,CB 4011 Dehkanin,0.8884959283239929,
AH-667,30,Beli Izvor,0.8886914583068918,
AH-668,127,GA98028,0.832919333490472,
AH-669,7,Acala 111 (Rogers),0.8893019038984588,
AH-670,372,TX-2495,0.8845021267313775,
AH-671,8,Acala 1517 (New Mexico),0.888691038592921,
AH-672,33,BJA glandless nectariless,0.8681732922987271,
AH-673,215,PD 93001 (Brown),0.8731191762445162,
AH-674,149,Kekchi,0.8893017691415314,
AH-675,299,Wilds 18,0.8893380953244258,
AH-676,243,Shan 5710,0.8894487846435498,
AH-677,138,Hopi Moencopi,0.8888909034866643,
AH-678,190,Northern Star,0.889116484791357,
AH-679,301,Zhong Mian Suo 8 hao,0.8896140389042984,
AH-680,112,Express 121,0.8894730163334119,
AH-681,157,Lightning Express,0.8891408460924461,
AH-682,352,TX-1507,0.8691450763031706,
AH-683,167,M-188 RNR,0.8064316748168482,
AH-684,133,Gringo Inta,0.8857548147744012,
AH-685,111,Empire W.R. 61,0.8213573577928435,
AH-686,104,DES 716,0.8893741957699767,
AH-687,228,Reba P288,0.889370500009068,
AH-689,18,ALA 70-236,0.889432751400446,
AH-690,308,TX-0097,0.8231056757149078,
AH-691,54,Christidis 53D7,0.8892193308550186,
AH-692,206,PD 2,0.8650413582934262,
AH-693,140,IAC 18,0.8876571656657656,
AH-694,213,PD 5256,0.8527831233433789,
AH-695,91,Deltapine 50,0.8895662112883035,
AH-696,60,Coker 100 WILT,0.8886708101624686,
AH-697,237,Saenz Pena 61,0.8803248377623899,
AH-698,193,Pak 4F  CB 4025,0.8889009812990877,
AH-699,103,DES 56,0.889579783184076,
AH-700,234,Rowden#2,0.8893782852999819,
AH-701,221,Pope,0.889021869219889,
AH-702,44,CABD3SHP3S-1-90,0.8888888888888888,
AH-703,320,TX-0221,0.8884046918691215,
AH-704,260,Southland M1,0.8891085517366464,
AH-705,170,Magnolia,0.8890077997460548,
AH-706,196,Paymaster 101,0.8892576672651759,
AH-707,240,Sealand7 Yellow Flower,0.8887820454669159,
AH-708,353,TX-1530,0.8870394988436253,
AH-709,180,MD51ne,0.8896360472703545,
AH-710,174,McNair 235,0.8894307469180566,
AH-711,10,Acala 5,0.8361467191267927,
AH-712,289,TM-1,0.889654047588844,
AH-713,161,Lockett BXL,0.857114362907759,
AH-714,129,Georgia King,0.8873476936466492,
AH-715,200,Paymaster 792,0.8892839649511093,
AH-716,269,Stoneville LA887,0.8890903157971067,
AH-717,56,Ciano Cocorim 92,0.8814548883086742,
AH-719,210,PD 785,0.8406556544758934,
AH-720,217,PD 93009,0.8591101502461712,
AH-721,389,G. arboreum(Variety 78),0.8873985174726439,
AH-722,388,G. arboreum(Variety 263),0.8765582508430327,
AH-723,390,G. arboreum(Variety 90),0.8895846194549784,
AH-724,391,G. arboreum(Variety 91),0.8906152889993785,
AH-725,399,G. thurberi(Variety 92),0.9217265143271672,
AH-726,401,G. trilobum(Variety 93),0.921215043394407,
AH-727,395,G. raimondii(Variety 102),0.9220082171610421,
AH-728,385,G. arboreum(Variety 118),0.8845053945144937,
AH-729,386,G. arboreum(Variety 126),0.8855630350957454,
AH-731,387,G. arboreum(Variety 262),0.8849530330963041,
AH-734,396,G. raimondii(Variety 102)repeat,0.9175687315222198,
AH-735,400,G. thurberi(Variety 92)repeat,0.9104587493673216,
AH-736,402,G. trilobum(Variety 93)repeat,0.9242368876221102,
IW-004,64,Coker 315,0.889493049136353,
IW-018,185,Namcala,0.88929180113863,
IW-019,246,Sicala 40,0.8892212854682259,
IW-020,247,Sicot 70,0.8896140389042984,
IW-074,165,LuMien 14 (pool),0.7506216631317194,
IW-081,96,Deltapine 90,0.8885413446325628,
IW-086,178†,MCU-5 (pool),0.8835461921915366,
IW-087,117,FiberMax 966 (Sicala 40) (pool),0.8843316289262235,
IW-088,249,Sicot 71 (pool),0.8816232855503543,
IW-092,166,LuMien14,0.7982011290785571,
IW-104,248,Sicot 71,0.8896322889469104,
IW-124,78,Delta Opal,0.8896421709023674,
IW-126,230,Riverina Poplar,0.8894146226500608,
IW-131,164,LuMien14,0.889249514967997,
IW-136,87,Deltapine 16,0.8894729210469079,
IW-137,176†,MCU-5,0.8886772256390718,
IW-139,120,FiberMax 989 (Sicala V-2),0.8895818979584437,
IW-140,250,Sicot 81,0.8895253979188572,
IW-142,280,TAMCOT SP-37,0.8887418419144307,
IW-151,252,Sicot 189,0.8897246741947762,
IW-152,254,Sicot F-1,0.8887519260400616,
IW-160,97,Deltapine 90,0.8896481719806413,
IW-313,66,Coker 315 (pool),0.8864188066947745,
IW-314,186,Namcala (pool),0.8663356170776784,
IW-325,80,Delta Opal (pool),0.8600972094507103,
IW-337,88,Deltapine 16 (pool),0.8530279431974347,
IW-340,251,Sicot 81 (pool),0.8824139207700852,
IW-344,79,Delta Opal,0.8896021470278896,
IW-349,98,Deltapine 90 (pool),0.8852456035062833,
IW-351,121,FiberMax 989 (Sicala V-2) (pool),0.8867897134353279,
IW-352,255,Sicot F-1 (pool),0.8402647889390106,
IW-358,256,Siokra 1-4,0.8887518366014258,
IW-363,253,Sicot 189 (pool),0.8883089960175301,
IW-368,65,Coker 315,0.8895071686211959,
IW-375,119,FiberMax 977 (Sicot 53) (pool),0.8882559557391668,
IW-376,258,Siokra 1-4 (pool),0.8890703244067059,
IW-380,177†,MCU-5,0.8880682541703807,
IW-412,244,Sicala 3-2,0.8868361976962426,
IW-425,175†,MCU-5,0.8881840818626293,
IW-447,231,Riverina Poplar (pool) rpt,0.7970046309981279,
AH-P9-001,344,TX-1209,0.8855344764684422,
AH-P9-002,52,Chaco 510 INTA,0.8890461929394682,
AH-P9-003,141,IAC 25 RMD,0.8392256657275289,
AH-P9-005,298,Western Stormproof,0.8886851374414467,
AH-P9-006,199,Paymaster 784,0.875687548786465,
AH-P9-008,46,Cambodia 4,0.8893927301748531,
AH-P9-011,143,IMA 12427,0.8591165242683149,
AH-P9-012,135,H 1220,0.8890221301646135,
AH-P9-014,264,Stoneville 256 (79256),0.8897026831036984,
AH-P9-017,359,TX-1801,0.7617703305709862,
AH-P9-018,2,1OE,0.887973581071273,
AH-P9-020,198,Paymaster 303,0.888423381758166,
AH-P9-023,126,FMT 709,0.8893688853393353,
AH-P9-026,368,TX-2110,0.858952400670042,
AH-P9-027,341,TX-1025,0.8527430221366699,
AH-P9-029,29,B163,0.8892033086634741,
AH-P9-030,361,TX-1842,0.886096694892106,
AH-P9-031,4,4S-180,0.8730069473416895,
AH-P9-032,324,TX-0379,0.887390338902843,
AH-P9-033,363,TX-1900,0.8877474955000818,
AH-P9-034,272,Suregrow 1001,0.8791764919281698,
AH-P9-037,339,TX-0867,0.8871332239839621,
AH-P9-041,284,Tashkent II,0.8853023846223592,
AH-P9-047,337,TX-0811,0.8174134327001726,
AH-P9-049,203,Paymaster Tejas,0.8894690089012164,
AH-P9-051,144,IMA 1318,0.8895636567989413,
AH-P9-053,305,TX-0040,0.8857070313208437,
AH-P9-054,153,LBBCDBOAKH-1-90,0.8892253023188353,
AH-P9-055,15,Acala Royale,0.888927166246623,
AH-P9-057,195,Paymaster 54,0.8892433745422905,
AH-P9-058,338,TX-0852,0.8734803814515542,
AH-P9-061,81,Deltapine  Smoothleaf,0.8894366707750309,
AH-P9-063,283,Tashkent I,0.888675345396526,
AH-P9-067,218,PD 93030,0.8848915645172989,
AH-P9-069,145,IMA 3869,0.889587903620574,
AH-P9-070,233,RN96625,0.7914648965304605,
AH-P9-071,156,Liao Mian 7 Hao,0.8891024827261022,
AH-P9-073,82,Deltapine 6,0.8734204753530702,
AH-P9-074,76,Delcot 277,0.8893763596809282,
AH-P9-075,236,Sabie,0.8846237533998187,
AH-P9-077,325,TX-0390,0.8725900327391779,
AH-P9-078,297,Westburn,0.8884839914427645,
AH-P9-084,187,NC 88-95,0.8891651542649728,
AH-P9-085,208,PD 113,0.8837770201653852,
AH-P9-086,152,Lankart 57,0.8893461196816707,
AH-P9-088,369,TX-2150,0.7725133126147248,
AH-P9-096,204,PD 1,0.8847068649345462,
